Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,946001,"28° 22' 49,6''","- 16° 35' 03,5''",341.1426,394,no encontrada,979338.54
Tenerife,946002,"28° 23' 06,4701''","- 16° 35' 03,0341''",279.3562,326070,0.05,979351.3
Tenerife,946003,"28° 23' 18,6934''","- 16° 35' 03,0083''",234.4080,281061,0.05,979360.75
Tenerife,946004,"28° 23' 28,2622''","- 16° 34' 43,5204''",219.5620,266149,0.05,979364.47
Tenerife,947001,"28° 18' 38,4693''","- 16° 34' 12,3003''",1992.3013,2040211,0.05,978993.91
Tenerife,947002,"28° 18' 44,8073''","- 16° 34' 08,7630''",1948.6405,1996510,0.05,979003.62
Tenerife,947003,"28° 18' 52,1792''","- 16° 34' 31,3038''",1903.9744,1951869,0.05,979013.26
Tenerife,947004,"28° 19' 00,9090''","- 16° 34' 12,9155''",1854.1841,1902050,0.05,979023.73
Tenerife,947006,"28° 19' 01,8079''","- 16° 33' 43,3838''",1804.0236,1851841,0.05,979035.47
Tenerife,947007,"28° 19' 11,2929''","- 16° 33' 22,3547''",1752.1928,1799974,0.05,979045.72
Tenerife,947008,"28° 19' 19,9877''","- 16° 32' 54,0486''",1709.8072,1757534,0.05,979054.23
Tenerife,947009,"28° 19' 17,2591''","- 16° 32' 29,2582''",1667.3432,1715101,0.05,979064.39
Tenerife,947010,"28° 19' 29,7697''","- 16° 32' 08,3392''",1618.4816,1666810,0.05,979076.03
Tenerife,947011,28° 19' 56'',- 16° 31' 53'',1558.8206,no encontrada,no encontrada,979088.58
Tenerife,947013,"28° 20' 17,0571''","- 16° 31' 38,2993''",1508.4006,1556114,0.05,979099.04
Tenerife,947014,"28° 20' 32,3932''","- 16° 31' 20,5508''",1463.6732,1510336,0.05,979108.55
Tenerife,947015,"28° 20' 50,8774''","- 16° 30' 55,7369''",1399.0824,1446737,0.05,979122.92
Tenerife,947017,28° 20' 53'',- 16° 31' 010'',1351.2265,no encontrada,no encontrada,979132.52
Tenerife,947018,"28° 20' 55,2345''","- 16° 31' 23,8515''",1305.7820,1353007,0.05,979142.39
Tenerife,947019,"28° 21' 05,3589''","- 16° 31' 19,3164''",1245.3138,1292638,0.05,979155.29
Tenerife,947020,"28° 21' 19,0438''","- 16° 30' 53,0726''",1192.9268,1241908,0.05,979167.31
Tenerife,947021,"28° 21' 26,0990''","- 16° 30' 23,3827''",1144.0974,1191295,0.05,979178.95
Tenerife,947022,"28° 21' 39,7750''","- 16° 29' 56,4961''",1088.4835,1135614,0.05,979190.19
Tenerife,947024,"28° 21' 48,9332''","- 16° 29' 59,8835''",1033.4041,1080475,0.05,979201.98
Tenerife,947025,"28° 21' 56,8050''","- 16° 30' 24,1940''",984.2168,1031275,0.05,979211.62
Tenerife,947026,"28° 21' 54,6512''","- 16° 30' 52,9564''",927.4284,974536,0.05,979222.75
Tenerife,947027,"28° 21' 59,3125''","- 16° 31' 17,4984''",875.9419,923036,0.05,979232.06
Tenerife,947028,"28° 22' 00,5326''","- 16° 31' 42,7377''",823.8254,870813,0.05,979242.03
Tenerife,947030,"28° 21' 58,1372''","- 16° 32' 03,3160''",841.7808,888901,0.05,979236.26
Tenerife,947031,"28° 21' 46,7314''","- 16° 32' 07,0376''",903.2445,950448,0.05,979224.66
Tenerife,947032,"28° 21' 41,2964''","- 16° 32' 37,7675''",906.6331,953807,0.05,979223.26
Tenerife,947033,"28° 21' 39,6893''","- 16° 33' 04,9718''",874.1241,921314,0.05,979228.42
Tenerife,947035,"28° 21' 35,4470''","- 16° 33' 40,5886''",811.5305,858637,0.05,979241.42
Tenerife,947036,"28° 21' 39,0971''","- 16° 34' 15,2811''",742.0541,789249,0.05,979255.3
Tenerife,947037,"28° 21' 45,2168''","- 16° 34' 19,7456''",694.3042,741498,0.05,979265.28
Tenerife,947038,"28° 21' 58,6111''","- 16° 34' 35,1243''",646.4191,693538,0.05,979274.57
Tenerife,947039,"28° 22' 00,4255''","- 16° 34' 59,6140''",594.5264,641629,0.05,979283.65
Tenerife,947040,"28° 22' 11,2506''","- 16° 34' 47,9999''",540.2625,587310,0.05,979296.45
Tenerife,947042,"28° 22' 26,6393''","- 16° 34' 21,9740''",504.0094,550998,0.05,979306.12
Tenerife,947043,"28° 22' 39,2012''","- 16° 34' 31,7239''",433.2515,480075,0.05,979320.18
Tenerife,947044,"28° 22' 39,3''","- 16° 34' 46,8''",399.6373,446,no encontrada,979326.26
Tenerife,10935002,"28° 03' 13,9722''","- 16° 40' 44,1018''",111.0242,155960,0.05,979372.15
Tenerife,10935003,28° 03' 14'',- 16° 40' 43'',109.6442,no encontrada,no encontrada,979371.9
Tenerife,10935004,28° 03' 14'',- 16° 40' 43'',109.4228,no encontrada,no encontrada,979371.91
Tenerife,10935005,28° 03' 10'',- 16° 40' 37'',116.5873,no encontrada,no encontrada,979368.07
Tenerife,10935006,28° 03' 06'',- 16° 40' 15'',135.0607,no encontrada,no encontrada,979364.98
Tenerife,10935007,"28° 03' 07,6000''","- 16° 39' 52,6300''",162.6210,207421,0.05,979358.93
Tenerife,10935008,28° 03' 09'',- 16° 39' 32'',175.5397,no encontrada,no encontrada,979356.6
Tenerife,10935009,"28° 03' 10,5400''","- 16° 39' 12,4000''",181.4387,226285,0.05,979355.28
Tenerife,10935010,28° 03' 11'',- 16° 38' 53'',187.4430,no encontrada,no encontrada,979353.55
Tenerife,10935011,28° 03' 11'',- 16° 38' 28'',172.0028,no encontrada,no encontrada,979355.51
