id,AB,Longitud,Latitud
672,165.000000,-25329,37707
673,165.000000,-25328,37712
674,165.000000,-25324,37715
675,165.000000,-25321,37717
676,165.000000,-25321,37722
677,165.000000,-25321,37726
678,165.000000,-25322,37731
679,165.000000,-25323,37735
680,165.000000,-25325,37738
681,165.000000,-25328,37739
682,165.000000,-25331,37740
683,165.000000,-25334,37738
684,165.000000,-25335,37740
685,165.000000,-25335,37744
686,165.000000,-25336,37747
687,165.000000,-25340,37749
688,165.000000,-25343,37751
689,165.000000,-25345,37753
690,165.000000,-25347,37756
691,165.000000,-25345,37760
692,165.000000,-25346,37763
693,165.000000,-25348,37763
694,165.000000,-25351,37763
695,165.000000,-25355,37764
696,165.000000,-25358,37766
697,165.000000,-25360,37765
698,165.000000,-25362,37761
699,165.000000,-25364,37758
700,165.000000,-25365,37754
701,165.000000,-25363,37749
702,165.000000,-25363,37745
703,165.000000,-25363,37741
704,165.000000,-25366,37737
705,165.000000,-25369,37735
706,165.000000,-25372,37734
707,165.000000,-25376,37733
708,165.000000,-25380,37734
709,165.000000,-25382,37737
710,165.000000,-25381,37741
711,165.000000,-25381,37743
712,165.000000,-25384,37743
713,165.000000,-25389,37744
714,165.000000,-25393,37746
715,165.000000,-25398,37748
716,165.000000,-25401,37751
717,165.000000,-25404,37754
718,165.000000,-25407,37756
719,165.000000,-25407,37760
720,165.000000,-25406,37763
721,165.000000,-25403,37765
722,165.000000,-25402,37769
723,165.000000,-25403,37772
724,165.000000,-25405,37777
725,165.000000,-25408,37780
726,165.000000,-25411,37783
727,165.000000,-25414,37786
728,165.000000,-25417,37789
729,165.000000,-25417,37793
730,165.000000,-25422,37795
731,165.000000,-25427,37796
732,165.000000,-25432,37797
733,165.000000,-25436,37798
734,165.000000,-25440,37800
735,165.000000,-25444,37800
736,165.000000,-25447,37803
737,165.000000,-25449,37806
738,165.000000,-25453,37808
739,165.000000,-25457,37809
740,165.000000,-25461,37809
741,165.000000,-25462,37812
742,165.000000,-25462,37816
743,165.000000,-25460,37820
744,165.000000,-25460,37825
745,165.000000,-25461,37829
746,165.000000,-25461,37833
747,165.000000,-25461,37836
748,165.000000,-25460,37841
749,165.000000,-25460,37845
750,160.000000,-25481,37850
751,160.000000,-25482,37847
752,160.000000,-25482,37843
753,160.000000,-25482,37840
754,160.000000,-25482,37836
755,160.000000,-25483,37833
756,160.000000,-25485,37831
757,160.000000,-25489,37828
758,160.000000,-25492,37825
759,160.000000,-25494,37822
760,160.000000,-25497,37820
761,160.000000,-25499,37818
762,160.000000,-25501,37815
763,160.000000,-25501,37812
764,160.000000,-25503,37809
765,160.000000,-25506,37808
766,160.000000,-25510,37809
767,160.000000,-25514,37811
768,160.000000,-25517,37813
769,160.000000,-25520,37815
770,160.000000,-25523,37817
771,160.000000,-25525,37814
772,160.000000,-25524,37809
773,160.000000,-25522,37806
774,160.000000,-25524,37803
775,160.000000,-25520,37802
776,160.000000,-25517,37801
777,160.000000,-25515,37798
778,160.000000,-25514,37795
779,160.000000,-25513,37792
780,160.000000,-25513,37788
781,160.000000,-25512,37784
782,160.000000,-25508,37782
783,160.000000,-25503,37780
784,160.000000,-25499,37779
785,160.000000,-25493,37779
786,160.000000,-25487,37780
787,160.000000,-25481,37783
788,160.000000,-25477,37786
789,160.000000,-25474,37790
790,1600.000000,-25473,37794
791,160.000000,-25470,37797
792,160.000000,-25465,37797
793,160.000000,-25460,37795
794,160.000000,-25454,37793
795,160.000000,-25449,37792
796,160.000000,-25445,37790
797,160.000000,-25440,37788
798,160.000000,-25439,37785
799,160.000000,-25435,37782
800,160.000000,-25430,37782
801,160.000000,-25426,37782
802,160.000000,-25423,37779
803,160.000000,-25423,37775
804,160.000000,-25422,37772
805,160.000000,-25418,37772
806,160.000000,-25415,37773
807,160.000000,-25412,37771
808,160.000000,-25415,37769
