id,AB (mGal),Longitud,Latitud
561,130.000000,-28.296,38.477
562,130.000000,-28.300,38.479
563,130.000000,-28.302,38.481
564,130.000000,-28.304,38.480
565,130.000000,-28.307,38.480
566,130.000000,-28.323,38.471
567,130.000000,-28.320,38.472
568,130.000000,-28.318,38.475
569,130.000000,-28.315,38.477
570,130.000000,-28.313,38.479
571,130.000000,-28.310,38.480
572,130.000000,-28.326,38.471
573,130.000000,-28.328,38.472
574,130.000000,-28.330,38.472
575,130.000000,-28.332,38.474
576,130.000000,-28.332,38.477
577,130.000000,-28.329,38.478
578,130.000000,-28.325,38.479
579,130.000000,-28.322,38.481
580,130.000000,-28.322,38.484
581,130.000000,-28.323,38.486
582,130.000000,-28.347,38.482
583,130.000000,-28.336,38.487
584,130.000000,-28.333,38.488
585,130.000000,-28.329,38.489
586,130.000000,-28.327,38.489
587,130.000000,-28.324,38.488
588,130.000000,-28.351,38.471
589,130.000000,-28.349,38.475
590,130.000000,-28.349,38.478
591,130.000000,-28.346,38.485
592,130.000000,-28.372,38.450
593,130.000000,-28.371,38.453
594,130.000000,-28.368,38.456
595,130.000000,-28.364,38.457
596,130.000000,-28.360,38.461
597,130.000000,-28.356,38.462
598,130.000000,-28.352,38.464
599,130.000000,-28.351,38.468
600,130.000000,-28.383,38.440
601,130.000000,-28.380,38.442
602,130.000000,-28.377,38.443
603,130.000000,-28.374,38.445
604,130.000000,-28.373,38.447
605,130.000000,-28.382,38.438
606,130.000000,-28.382,38.436
607,130.000000,-28.380,38.434
608,130.000000,-28.376,38.432
609,130.000000,-28.373,38.432
610,130.000000,-28.370,38.431
611,130.000000,-28.367,38.430
612,130.000000,-28.365,38.428
613,130.000000,-28.362,38.425
614,130.000000,-28.359,38.423
615,130.000000,-28.356,38.423
616,130.000000,-28.353,38.422
617,130.000000,-28.350,38.422
618,130.000000,-28.345,38.422
619,130.000000,-28.342,38.422
620,130.000000,-28.337,38.421
621,130.000000,-28.333,38.421
622,130.000000,-28.329,38.422
623,130.000000,-28.325,38.421
624,130.000000,-28.322,38.421
625,130.000000,-28.319,38.422
