id,AB (mGal),Latitud,Longitud,Latitud(º),Longitud(º
581,91.000000,39,-29,38.600,-28.811
582,91.000000,39,-29,38.602,-28.813
583,91.000000,39,-29,38.603,-28.814
584,91.000000,39,-29,38.605,-28.816
585,91.000000,39,-29,38.606,-28.816
585,89.000000,39,-29,38.588,-28.820
586,89.000000,39,-29,38.590,-28.820
587,89.000000,39,-29,38.592,-28.819
588,89.000000,39,-29,38.594,-28.819
589,89.000000,39,-29,38.595,-28.817
590,89.000000,39,-29,38.597,-28.816
591,89.000000,39,-29,38.598,-28.814
592,89.000000,39,-29,38.600,-28.815
593,89.000000,39,-29,38.601,-28.816
594,89.000000,39,-29,38.602,-28.817
595,89.000000,39,-29,38.604,-28.819
596,89.000000,39,-29,38.605,-28.820
597,87.000000,39,-29,38.592,-28.824
598,87.000000,39,-29,38.593,-28.823
599,87.000000,39,-29,38.595,-28.823
600,87.000000,39,-29,38.597,-28.822
601,87.000000,39,-29,38.599,-28.821
602,87.000000,39,-29,38.601,-28.820
603,87.000000,39,-29,38.603,-28.821
604,87.000000,39,-29,38.604,-28.821
605,87.000000,39,-29,38.605,-28.822
