Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal
-155.205124,19.965223,92.4,978879.25,978606.2694214354,272.9805785645731,262.9073153645731,283.30321239202857
-155.256789,20.000888,95.4,978878.13,978607.4097991018,270.7202008982422,260.31988369824217,281.0257662070666
-155.292616,20.011222,218.5,978853.56,978570.0075010398,283.55249896028545,259.73206596028547,279.8203364090044
-155.325787,20.031053,129.8,978874.0,978598.5403493374,275.45965066261124,261.3091142626112,278.6825038523046
-155.370113,20.050888,114.0,978883.94,978604.5700453533,279.36995464668144,266.94190264668146,283.34710787185384
-155.349622,20.01289,481.6,978802.63,978488.8912210334,313.7387789665954,261.2357101665954,280.85948798893253
-155.364286,19.983225,944.0,978708.38,978344.4630405382,363.91695946175605,261.003967461756,284.375328137714
-155.431455,19.973891,1260.0,978650.75,978246.414619901,404.3353800990153,266.9727000990153,287.9756288036898
-155.390608,19.960225,1315.2,978633.69,978228.5917290438,405.098270956194,261.717797356194,284.21516639163707
-155.415617,19.945727,1583.1,978577.19,978145.1006046312,432.0893953687046,259.5029995687046,284.20058696228875
-155.450787,19.946895,1573.7,978582.19,978148.068081493,434.12191850692034,262.5602919069203,283.6862331146241
-155.497281,19.951729,1481.3,978604.81,978176.8538499895,427.9561500105774,266.4677866105774,286.7080910135935
-155.529446,19.962894,1279.9,978652.13,978239.6377231766,412.49227682338096,272.96013862338094,288.47470620239056
-155.550274,19.985394,1119.2,978693.25,978290.5257514777,402.7242485223105,280.7113029223105,294.06230898073136
-155.572276,20.000727,991.2,978727.13,978330.9122546366,396.21774536336306,288.1591037633631,300.40964593269393
-155.60612,20.012894,898.2,978753.69,978360.3169712828,393.3730287171202,295.45306111712017,306.6501069261351
-155.62211,20.037059,879.7,978764.5,978367.4287824272,397.0712175727822,301.1680829727822,311.7769041026936
-155.586115,20.059724,788.8,978770.81,978396.7980894333,374.01191056671087,288.0185121667109,300.522813817376
-155.561442,20.044057,854.4,978755.94,978375.6429016874,380.29709831252694,287.152119112527,299.24025204618164
-155.514277,20.049389,773.3,978762.81,978400.9809598059,361.8290401941631,277.5254207941631,292.3018900814733
-155.487605,20.065221,580.0,978795.5,978461.5593412358,333.9406587642152,270.7102187642152,285.45016510125384
