Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal,Bouguer_Completa_2.3_mGal,Bouguer_Completa_2.8_mGal,Bouguer_Completa_2.9_mGal
-155.292616,20.011222,218.5,978853.56,978570.0075010398,283.55249896028545,259.73206596028547,333.33018750673654,326.71851578832946,337.73796865234124,339.9418592251436
-155.325787,20.031053,129.8,978874.0,978598.5403493374,275.45965066261124,261.3091142626112,343.13910906840204,334.55753076917193,348.8601612678887,351.7206873676321
-155.370113,20.050888,114.0,978883.94,978604.5700453533,279.36995464668144,266.94190264668146,350.2910415245022,341.3259532040201,356.2677670714903,359.25612984498434
-155.349622,20.01289,481.6,978802.63,978488.8912210334,313.7387789665954,261.2357101665954,306.99444273637636,307.00570644257243,306.9869335989123,306.9831790301803
-155.364286,19.983225,944.0,978708.38,978344.4630405382,363.91695946175605,261.003967461756,292.3954060343419,299.87064084332974,287.41191616168334,284.9201712253541
-155.431455,19.973891,1260.0,978650.75,978246.414619901,404.3353800990153,266.9727000990153,299.0194453101813,310.4757891768973,291.38188273237074,287.56310144346554
-155.390608,19.960225,1315.2,978633.69,978228.5917290438,405.098270956194,261.717797356194,332.11401671686633,339.7798402371075,327.0034677033722,324.44819319662514
-155.415617,19.945727,1583.1,978577.19,978145.1006046312,432.0893953687046,259.5029995687046,353.16469921623843,361.53141839023107,347.5868864335766,344.79798004224557
-155.450787,19.946895,1573.7,978582.19,978148.068081493,434.12191850692034,262.5602919069203,317.25818217701783,330.0582493445764,308.72480406531207,304.4581150094591
-155.497281,19.951729,1481.3,978604.81,978176.8538499895,427.9561500105774,266.4677866105774,308.1116524664775,321.3250702213085,299.3027072965901,294.8982347116464
-155.529446,19.962894,1279.9,978652.13,978239.6377231766,412.49227682338096,272.96013862338094,291.3864281323306,304.8027270453558,282.4422288569803,277.9701292193052
-155.550274,19.985394,1119.2,978693.25,978290.5257514777,402.7242485223105,280.7113029223105,302.5107447045855,313.54115506945413,295.15713779467313,291.4803343397168
-155.572276,20.000727,991.2,978727.13,978330.9122546366,396.21774536336306,288.1591037633631,322.79016121375275,330.7563012815799,317.4794011685346,314.82402114592554
-155.60612,20.012894,898.2,978753.69,978360.3169712828,393.3730287171202,295.45306111712017,321.19221305541555,329.0443508086909,315.95745455323197,313.3400753021403
-155.62211,20.037059,879.7,978764.5,978367.4287824272,397.0712175727822,301.1680829727822,327.78622965356317,335.29325227143397,322.78154790831593,320.27920703569225
-155.586115,20.059724,788.8,978770.81,978396.7980894333,374.01191056671087,288.0185121667109,345.31788321367327,348.0634220589748,343.4875239834722,342.5723443683718
-155.561442,20.044057,854.4,978755.94,978375.6429016874,380.29709831252694,287.152119112527,337.5248654237797,341.9022359422425,334.6066184114712,333.147494905317
-155.514277,20.049389,773.3,978762.81,978400.9809598059,361.8290401941631,277.5254207941631,337.06318101414485,339.30200131401807,335.5706341475627,334.82436071427173
-155.487605,20.065221,580.0,978795.5,978461.5593412358,333.9406587642152,270.7102187642152,349.13332696009485,346.68213343161716,350.76745597907995,351.5845204885725
-155.558618,20.094887,466.6,978824.56,978498.2864162546,326.2735837454675,275.4057849454675,346.24721409126505,342.6691064241901,348.6326192026483,349.82532175833995
-155.583611,20.108887,390.1,978835.69,978522.7145771806,312.97542281937785,270.44750101937785,331.54881047662985,328.1444871530225,333.81835935903473,334.9531338002372
-155.530283,20.11472,96.3,978892.19,978613.7482343303,278.44176566961687,267.94333226961686,301.1440815903476,297.19364891115737,303.77770337647445,305.09451426953785
-155.445109,20.08372,166.1,978876.31,978590.3954348267,285.914565173327,267.806675373327,334.4114665981917,327.2543847110535,339.18285452295055,341.5685484853299
