Site,LatitudeOH,LongitudeOH,LatitudeWGS84,LongitudeWGS84,elevation,ObsGravity
GS0368,19.623333,-155.988327,19.620254,-155.985608,16.2,978839.75
GS0369,19.568333,-155.964996,19.565257,-155.962279,20.1,978841.75
GS0370,19.598333,-155.975006,19.595255,-155.972288,4.6,978843.38
GS0371,19.673334,-155.98233,19.670252,-155.979611,263,978795.94
GS0372,19.6775,-155.970337,19.674417,-155.967618,435.9,978762.13
GS0373,19.660833,-155.960007,19.657751,-155.957288,467.3,978760.69
GS0374,19.636999,-155.95166,19.633918,-155.948942,452.6,978766.19
GS0375,19.583334,-155.946671,19.580256,-155.943954,355.1,978781.94
GS0376,19.554167,-155.936661,19.551091,-155.933944,419.1,978770.69
GS0377,19.534166,-155.928329,19.531091,-155.925613,440.4,978767.69
GS0378,19.467001,-155.903336,19.463929,-155.900621,180.1,978823.56
GS0379,19.468334,-155.921661,19.465263,-155.918946,11,978853.31
GS0380,19.4375,-155.917496,19.43443,-155.914781,42.7,978839.94
GS0381,19.42,-155.883331,19.416931,-155.880617,288,978794
GS0382,19.399334,-155.882172,19.396266,-155.879458,281.3,978793.13
GS0383,19.337667,-155.875,19.334603,-155.872287,326.1,978762.13
GS0384,19.3155,-155.877167,19.312437,-155.874455,325.5,978759.5
GS0385,19.273167,-155.878006,19.270106,-155.875294,388.6,978742.31
GS0386,19.2325,-155.877502,19.229442,-155.874791,476.7,978723.63
GS0387,18.916,-155.684494,18.912957,-155.68179,9.8,978843.81
GS0388,18.956667,-155.687164,18.953622,-155.68446,150.3,978824.44
GS0389,18.980667,-155.669327,18.97762,-155.666622,241.1,978809.13
GS0390,19.358833,-155.423828,19.355761,-155.42112,1121.1,978641.94
GS0391,19.207834,-155.457001,19.204771,-155.454295,261.8,978811.5
GS0392,19.232334,-155.48233,19.22927,-155.479623,488.6,978761.38
GS0393,19.266167,-155.468826,19.263101,-155.466119,588.3,978745.19
GS0394,19.181168,-155.495499,19.178107,-155.492793,167.3,978821.63
GS0395,19.152166,-155.515503,19.149107,-155.512797,110.6,978830.69
GS0396,19.137833,-155.536163,19.134775,-155.533457,92,978831.38
GS0397,19.093334,-155.552994,19.090279,-155.550289,6.4,978842.31
GS0398,19.0445,-155.613159,19.041449,-155.610454,216.1,978804.5
GS0399,19.018833,-155.626831,19.015783,-155.624126,185.9,978810.94
GS0400,19.070667,-155.614334,19.067614,-155.611628,321.9,978785.13
GS0401,19.063334,-155.66684,19.060282,-155.664134,598.3,978732.94
GS0402,19.061666,-155.692001,19.058615,-155.689295,634.3,978727.81
GS0403,19.069,-155.705338,19.065949,-155.702632,639.8,978728.63
GS0404,19.068333,-155.720505,19.065282,-155.717798,594.7,978736.5
