longitude,latitude,Bouguer_mG
55.54165322811243,-21.04451017463496,300.0
55.54250688459365,-21.05237016707847,300.0
55.53788949145916,-21.05872991681456,300.0
55.535051747373295,-21.065518736769754,300.0
55.54120181425858,-21.0680723869835,300.0
55.5468619632424,-21.062572358915958,300.0
55.550004577073175,-21.06804744113284,300.0
55.5487683068068,-21.0754298422286,300.0
55.54169054969189,-21.079004355900814,300.0
55.53778754171879,-21.085913999917008,300.0
55.53315578997983,-21.092403118065224,300.0
55.5279592325377,-21.098456094308418,300.0
55.52257089434362,-21.10436607540911,300.0
55.51698004565255,-21.110085568709145,300.0
55.5110989975922,-21.114666194350402,300.0
55.506445742214,-21.121082748595104,300.0
55.5028781853459,-21.126365425923726,300.0
55.496565770661874,-21.131276986988148,300.0
55.48973493655339,-21.135380668217973,300.0
55.48275884219727,-21.139295469536858,300.0
55.47581757750201,-21.14326646026628,300.0
55.468473326473884,-21.14625421489735,300.0
55.46055441812299,-21.147367910630493,300.0
55.452600906016436,-21.147188642872223,300.0
55.44485404648807,-21.145193759987613,300.0
55.4372403636654,-21.144146528469008,297.5
55.433404498331974,-21.137281577116134,297.5
55.430216644740106,-21.13000726871365,297.5
55.428442337787295,-21.12222037060994,297.5
55.42679462833484,-21.11440231744099,297.5
55.4271273541773,-21.1064238421491,297.5
55.42830007135633,-21.098511909936583,297.5
55.43046296907737,-21.09082335371303,297.5
55.43296205594676,-21.08322384638431,297.5
55.43609529843923,-21.07587875646703,297.5
55.439525450379854,-21.068651502100074,297.5
55.44335112433476,-21.06165872308022,297.5
55.44791035639008,-21.055086135887933,297.5
55.45198464507742,-21.048219137477822,297.5
55.45635548873122,-21.041587207763136,297.5
55.461601790346826,-21.035548925148426,297.5
55.46733134576042,-21.029980511430754,297.5
55.47388866997522,-21.025440044642085,297.5
55.48141482771543,-21.02309817679141,297.5
55.489408185481004,-21.023117710723355,297.5
55.49736371742039,-21.022888998566685,297.5
55.50523414103798,-21.02273058259161,297.5
55.513057521531785,-21.024401893168594,297.5
55.520923456534824,-21.025858003348677,297.5
55.528258479900636,-21.029021130213277,297.5
55.535353118345704,-21.03270879027257,297.5
55.54118076260065,-21.037960291099616,297.5
55.546061615763726,-21.044975415410015,297.5
55.54834449147209,-21.052641008173584,297.5
55.55082154187753,-21.060244213211426,297.5
55.553102693379316,-21.06787831455806,297.5
55.55115108531669,-21.075312244479353,297.5
55.54531514751337,-21.080597181925402,297.5
55.54066155892322,-21.08652885212843,297.5
55.536595058195445,-21.093354407201833,297.5
55.53151981135231,-21.099517894942075,297.5
55.5254782903614,-21.104723477623075,297.5
55.520622860907714,-21.111079779545367,297.5
55.51569894296533,-21.117342015726752,297.5
55.50972971603297,-21.122658215393415,297.5
55.505163846886276,-21.12917686900067,297.5
55.5008786503735,-21.132818502006288,297.5
55.494280902023135,-21.1373341323636,297.5
55.487315013243595,-21.14126568870008,297.5
55.48033022371416,-21.145154379835823,297.5
55.47311487955823,-21.148578926915807,297.5
55.46553947142961,-21.150791692133634,297.5
55.45758166753066,-21.150869224772634,297.5
55.44964976284913,-21.150118359471406,297.5
55.44196959411328,-21.147911987553282,297.5
55.42587478536163,-21.09876113410856,295.0
55.42683586865465,-21.090819073991444,295.0
55.429656675285386,-21.083432674297054,295.0
55.43243920223272,-21.075932171394758,295.0
55.43602651643054,-21.068787766213802,295.0
55.439646504949785,-21.061653940995505,295.0
55.443666435240054,-21.05474126063266,295.0
55.44750486334125,-21.047723441870655,295.0
55.451778249593424,-21.0409794875741,295.0
55.45685242400419,-21.034794733694234,295.0
55.46221440506618,-21.028863264303805,295.0
55.46801151081471,-21.02337597449529,295.0
55.475162207125635,-21.020080105345247,295.0
55.483150611150286,-21.019754236305626,295.0
55.491107057746866,-21.020540911790334,295.0
55.49896428968288,-21.019458470927642,295.0
55.50693277187587,-21.01980628841751,295.0
55.51486203347087,-21.020804694270662,295.0
55.522652715441396,-21.0226227356437,295.0
55.53005206573935,-21.025553357979806,295.0
55.53690287190187,-21.02966434757071,295.0
55.54259859476011,-21.035253879905873,295.0
55.54746737834421,-21.0415127606891,295.0
55.549696482523515,-21.04916189014304,295.0
55.55196003644532,-21.05681295439536,295.0
55.55421042775799,-21.064484615187048,295.0
55.5552253500848,-21.07239717973368,295.0
55.552113747083006,-21.078990329179863,295.0
55.54583320079341,-21.083812856271834,295.0
55.542875505500525,-21.091110938006327,295.0
55.538795506490565,-21.09779640997707,295.0
55.533057747530286,-21.103230008384717,295.0
55.526939241325984,-21.10830783731317,295.0
55.5232591874738,-21.115351108400922,295.0
55.51891604600655,-21.12197442816411,295.0
55.51273871243422,-21.127005007802612,295.0
55.50655037707121,-21.132065017884724,295.0
55.500575263355586,-21.137382302431362,295.0
55.49370578002277,-21.141442176444684,295.0
55.48677439385013,-21.14543333643525,295.0
55.47958567023281,-21.148918630280743,295.0
55.47241249689929,-21.152450382719035,295.0
55.46465095408838,-21.15417850859551,295.0
55.45668082777586,-21.154481033839478,295.0
55.44873792411808,-21.15360505665557,295.0
55.44116178310424,-21.151093648292974,295.0
55.43524092117094,-21.146033415220653,295.0
55.43022851250633,-21.139969451690508,295.0
55.427997354765004,-21.132328080712092,295.0
55.42645663642062,-21.12451754002429,295.0
55.42572124666982,-21.11656467309414,295.0
